Q,Where did Booth shoot Lincoln
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,0,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,When did Booth shoot Lincoln
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,0,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,In what theater did Booth attack Lincoln
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,0,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,Who did John Wilkes Booth assasinate
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,0,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,Who was Lincoln's assassin
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,0,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,What was the occupation of Lincoln's assassin
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,1,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,What was the nationality of Lincoln's assassin
A,1,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,1,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,0,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
Q,Why did Booth assasinate Lincoln
A,0,John Wilkes Booth was an American actor and assassin who murdered President Abraham Lincoln at Ford's Theatre in Washington D.C. on April 14 1865
A,0,Booth was a member of the prominent 19th-century Booth theatrical family from Maryland and by the 1860s was a well-known actor
A,1,He was also a Confederate sympathizer vehement in his denunciation of Lincoln and strongly opposed to the abolition of slavery in the United States
